,tsne1,tsn2
691,-25.969769,34.646545
692,61.385937,23.83759
693,-41.92452,30.344961
694,-50.002285,-27.847244
695,6.394257,-21.648148
696,-1.4244179,-32.73453
697,30.12773,51.912373
698,-17.736944,-54.525703
699,46.125732,4.4360566
700,-54.941147,-5.551914
701,19.387827,-41.36701
702,-1.9179009,-2.1501756
703,-8.688688,-26.881445
704,52.677544,35.519417
705,-26.717669,37.627495
706,-67.21099,-10.595485
707,-11.448321,56.70796
708,-25.653418,-38.016037
709,28.922604,-9.579125
710,-10.416839,-5.919488
711,6.5933733,18.762634
712,-25.396065,33.32931
713,-10.682616,-0.14918222
714,-5.79224,46.763165
715,63.95248,25.151611
716,-28.779173,-35.525356
717,-67.795586,3.2468002
718,19.177126,-56.9979
719,-4.269784,57.744637
720,13.315365,19.519136
721,-26.06798,-43.31691
722,-49.757133,18.011013
723,3.3072965,-55.761375
724,-25.214008,-9.715151
725,5.340834,16.564238
726,-13.730216,-35.621105
727,11.464159,36.220108
728,29.34909,-28.335402
729,24.939125,43.31659
730,28.202454,6.109178
731,26.476978,3.2434356
732,26.42873,17.306963
733,1.9876171,-3.9440882
734,-19.638424,-27.337519
735,59.62295,6.46791
736,49.064247,-30.917356
737,-52.832405,-3.9639027
738,-57.22691,16.903753
739,16.432768,-29.133133
740,23.591755,35.37336
741,5.0639157,-6.977292
742,0.82874924,13.398678
743,15.309637,-42.547096
744,11.616826,-49.87232
745,-14.509744,-26.719437
746,-44.56026,40.975155
747,22.072924,-42.755676
748,-26.537378,-7.099568
749,11.071804,-7.6074443
750,2.1078377,19.70549
751,27.144081,-52.20474
752,-7.35411,62.871716
753,-27.640684,37.04285
754,31.45479,-11.151656
755,-2.9740624,-41.532646
756,-55.79302,24.763186
757,-46.37837,-26.305906
758,22.177702,27.740229
759,31.57106,-33.89688
760,11.972072,-16.997578
761,55.986576,5.607711
762,-4.176564,50.062332
763,-40.412773,-39.067387
764,16.890278,-54.56466
765,-24.792984,18.774803
766,-53.597466,18.78167
767,5.5474386,-61.240673
768,-18.730894,12.411317
769,0.90061545,-5.615755
770,-12.486887,12.868597
771,8.772488,39.86569
772,-59.103016,0.8923856
773,-29.170332,38.66857
774,-26.399714,23.869677
775,-50.74476,-19.109652
776,41.85829,14.856583
777,-14.870016,15.644632
778,-20.30103,-47.090714
779,7.512243,11.033179
780,-51.396954,-4.5113273
781,48.524696,50.11503
782,6.0441604,51.813934
783,-41.53327,-37.916508
784,35.508476,-33.67918
785,-5.483319,-29.140474
786,16.684423,-63.162403
787,-28.156929,-3.6175647
788,-11.505412,-4.986648
789,-7.5992627,26.781939
790,46.95121,-24.886108
791,12.955292,-46.916695
792,-7.8840957,1.7422546
793,-63.253323,-4.4927626
794,50.20173,23.027866
795,-3.9625673,-48.547062
796,-61.02846,23.527918
797,44.586723,-46.457645
798,25.163998,-58.804283
799,2.4313958,-35.846077
800,-36.62493,16.42719
801,-15.867715,47.617237
802,-17.165237,-33.674046
803,-33.709457,39.688828
804,-21.584848,-7.262323
805,23.616974,51.91958
806,-20.673851,14.418902
807,19.078554,-52.38577
808,13.556617,-55.996597
809,-4.9273925,34.10648
810,11.024815,26.228098
811,-18.024183,14.137635
812,-62.346924,-7.7031946
813,21.415197,-17.78312
814,40.20825,38.16127
815,-4.7122097,46.564487
816,-10.840155,-62.879597
817,19.707134,-55.946224
